,utt,intent,index
0,"define airline ua , names of airports and also show me city served both by nationair and canadian airlines international",atis_abbreviation#atis_airport#atis_city,"5,6,11"
1,how many seats in a 100 and also which cities are serviced by both american and delta airlines,atis_capacity#atis_city,"10,11"
2,show me the type of aircraft that cp uses and what time zone is denver in,atis_aircraft#atis_city,"16,11"
3,show me ground transportation in westchester county,atis_ground_service,8
4,is there a meal on delta flight 852 from san francisco to dallas fort worth and list the number of flights leaving boston for dallas fort worth before 9 am in the morning,atis_meal#atis_quantity,"13,0"
5,"what kind of aircraft will i be flying on if i take a first class american airlines flight from philadelphia to dallas , i would like the flight number and the time for the cheapest fare that is the least expensive first class fare from san francisco to pittsburgh leaving after 8 pm monday night and also i would like the time of all flights from san francisco to pittsburgh on sunday",atis_aircraft#atis_flight_no#atis_flight_time,"16,1,17"
6,show me the ground transportation in denver,atis_ground_service,8
7,show me city served both by nationair and canadian airlines international and what types of ground transportation are there to san francisco airport,atis_city#atis_ground_service,"11,8"
8,"what are the cities that american airlines serves , can you list costs of denver rental cars and then is there a meal on delta flight 852 from san francisco to dallas fort worth",atis_city#atis_ground_fare#atis_meal,"11,14,13"
9,show me the cheapest fare in the database and please show me the return flight number from toronto to st petersburg,atis_cheapest#atis_flight_no,"15,1"
10,"what airport is at tampa , show me all flights from pittsburgh to philadelphia which arrive before 8 o clock am on wednesday and then ground transportation between airport and downtown in boston",atis_airport#atis_flight#atis_ground_service,"6,2,8"
11,i want to know what flights you have available coach or economy class from baltimore to dallas and show me ground transportation in san francisco,atis_flight#atis_ground_service,"2,8"
12,"what s the airport at orlando , please show me the return flight number from toronto to st petersburg and also i need ground transportation in seattle",atis_airport#atis_flight_no#atis_ground_service,"6,1,8"
13,what are the schedule of flights from boston to san francisco for august first,atis_flight_time,17
14,what is the name of the airport in philadelphia and then what is the distance between pittsburgh airport and downtown pittsburgh,atis_airport#atis_distance,"6,9"
15,"what are the flights from orlando to kansas city , what is the minimum connection time for houston intercontinental and then what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars",atis_flight#atis_flight_time#atis_restriction,"2,17,7"
16,please inform me the type of aircraft used on a flight from atlanta to denver before 12 o clock noon and also fares and flights from baltimore to philadelphia,atis_aircraft#atis_airfare,"16,4"
17,is there a meal on delta flight 852 from san francisco to dallas fort worth and what are the restrictions on the cheapest one way fare between boston and oakland,atis_meal#atis_restriction,"13,7"
18,"what does fare code qo mean , please list the flights from toronto to washington dc and also i would like the flight number and the time for the cheapest fare that is the least expensive first class fare from san francisco to pittsburgh leaving after 8 pm monday night",atis_abbreviation#atis_flight#atis_flight_no,"5,2,1"
19,what s the name of the denver airport,atis_airport,6
20,what are the rental car rates in dallas,atis_ground_fare,14
