,utt,intent,index
0,how long will it take to drive from chicago to mississippi,get_estimated_duration,18
1,will it take shorter to get to the white house by bus or taxi,unsupported_navigation,16
2,will i make it to the beach by noon if i leave now,get_estimated_arrival#get_location,"20,9"
3,when should i leave my house to get to the hamilton mall right when it opens on saturday,get_location_home#get_estimated_departure#get_location,"22,5,9"
4,i need to know if there s a lot of traffic on my way home,get_info_traffic#get_location_home,"0,22"
5,what is the shortest way home,get_location_home#get_directions,"22,6"
6,how long will it take me to drive to fort collins,get_estimated_duration,18
7,how long would it take to ride a bus to jeddah from madina travelling at 8am,get_estimated_duration,18
8,can you tell me what is happening at liberty science center,get_event#get_location,"7,9"
9,traffic to midway airport,get_info_traffic#get_location,"0,9"
10,is there traffic congestion on the verrazzano bridge  on the way to brooklyn,get_info_traffic#get_location,"0,9"
11,music events in minneapolis this weekend,get_event,7
12,what s the best route to take to the portland airport,get_directions#get_location,"6,9"
13,is there any traffic if i drive to st george today,get_info_traffic,0
14,how is traffic heading to dad s house,get_info_traffic#get_location_home,"0,22"
15,whats happening in san francisco tonight,get_event,7
16,are there downed power lines on freemont ave that might make me late to the movie,get_info_traffic,0
17,what shows are playing at the house of blues we his week,get_event#get_location,"7,9"
18,if i take off now what time should i arrive at fenway park,get_estimated_arrival#get_location,"20,9"
19,how many hours is it drive time between knoxville and memphis,get_estimated_duration,18
20,best way to reach work today,get_directions#get_location_work,"6,11"
21,where is todays meeting in tacoma,get_event,7
22,look up directions to nearest public parking near s beritania street,get_directions#get_location,"6,9"
23,i bought a new car,unsupported,10
24,route to the mall,get_directions#get_location,"6,9"
25,star wars events near me today,get_event#get_location,"7,9"
26,find me the nearest gas station off of 5th ave north,get_location,9
27,is the rain making it  hard to get to the rugby tournament today,get_event#get_info_road_condition,"7,17"
28,what s the traffic like heading in to work,get_info_traffic#get_location_work,"0,11"
29,what types of things can i do in atlanta on the third weekend,get_event,7
30,how long will it take to get to dc from baltimore,get_estimated_duration,18
31,events in wadsworth,get_event,7
32,how many miles apart is los angeles and anaheim,get_distance,4
33,what s happening for families this weekend,get_event,7
34,how far is the history museum from mike s work,get_location_work#get_distance#get_location,"11,4,9"
35,how long is the trip to grandma s,get_location_home#get_estimated_duration,"22,18"
36,how long will it take me to get to the target on centre street in abington,get_location#get_estimated_duration,"9,18"
37,can i get heavy traffic alerts when there is a back up on my route to work,unsupported_navigation,16
38,traffic estimate for manhattan to jfk this afternoon,get_info_traffic#get_location,"0,9"
39,what are the roads looking like this morning,get_info_traffic,0
40,how long will the bus take to reach my destination,get_estimated_duration,18
41,how long is it going to take to get to the beach with traffic,get_location#get_estimated_duration,"9,18"
42,find me something to do in boston this weekend,get_event,7
43,photography classes in ukiah,get_event,7
44,how far is it from denver to los angeles,get_distance,4
45,are there any good bands coming through new york this week,get_event,7
46,christmas parties this december,get_event,7
47,take me to office from highway via mall road,get_directions#get_location#get_location_work,"6,9,11"
48,how long will it take me to get to the mall,get_location#get_estimated_duration,"9,18"
49,is there any holiday plays to see this weekend in san jose,get_event,7
50,how long will it take me to drive to my 4pm meeting,get_event#get_estimated_duration,"7,18"
51,are there any christmas parades in nh in december,get_event,7
52,help me find an event in birmingham this weekend,get_event,7
53,get the time to ri taking route 128,get_estimated_duration,18
54,tell me about things to do in atlanta on new year s eve,get_event,7
55,how long will it take me to reach the osf hospital today,get_location#get_estimated_duration,"9,18"
56,are any fourth of july festivals pet friendly,get_event,7
57,any events available in madison heights this morning,get_event,7
58,give me the traffic report for today,get_info_traffic,0
59,what is the least gas consuming route,unsupported_navigation,16
60,what is going on for tomorrow,get_event,7
61,will traffic delay me getting home today,get_location_home#get_estimated_duration,"22,18"
62,will i hit traffic on this route,get_info_traffic,0
63,how long is the traffic backed up to get into mis today,get_info_traffic#get_location,"0,9"
64,are there any accidents on my commute home,get_info_traffic#get_location_home,"0,22"
65,would i be able to get from here to montauk by 1pm,get_estimated_arrival#get_location,"20,9"
66,when should i arrive home based on the traffic,get_location_home#get_estimated_arrival,"22,20"
67,is there still parking available in the free parking lot at qualcomm,unsupported_navigation,16
68,give me directions to acme,get_directions#get_location,"6,9"
69,what s the fastest way to get to the fall out boy concert,get_directions#get_event,"6,7"
70,what time should i leave kris hair salon to reach heba s wedding before 7 pm,get_event#get_estimated_departure#get_location,"7,5,9"
71,what is going on today,get_event,7
72,is there a detour to get out of this traffic,update_directions,12
73,"how long will it take me to get to the hangout festival in gulf shores, al from my home",get_location_home#get_event#get_estimated_duration,"22,7,18"
74,how heavy is traffic in my area,get_info_traffic#get_location,"0,9"
75,any police activity on main street today,unsupported_navigation,16
76,"when is the latest i can leave work at make my 3pm meeting in south lyon, avoiding the freeway",get_event#get_estimated_departure#get_location_work,"7,5,11"
77,what s traffic like from newport to portland,get_info_traffic,0
78,if i leave thursday morning to get to my brothers house how much traffic can i expect to have,get_info_traffic#get_location_home,"0,22"
79,what time should i leave to make it to the alahly s game by 7pm,get_event#get_estimated_departure,"7,5"
80,how far is it from asheville nc to ocean isle nc,get_distance,4
81,how is traffic from here to schaumburg,get_info_traffic#get_location,"0,9"
82,what is the distance to east hills mall,get_distance#get_location,"4,9"
83,is this highway to lanes the whole way,unsupported_navigation,16
84,should i walk to borough market or take a cab from here,unsupported_navigation,16
85,is jack going to the concert,get_event_attendee,1
86,wine tasting events near me,get_event#get_location,"7,9"
87,what is the distance between bolingbrook and new orleans,get_distance,4
88,show me a faster route,update_directions,12
89,"dinner is at 5pm, if i am travelling on 64 what time should i leave the house",get_location_home#get_event#get_estimated_departure,"22,7,5"
90,are there any slowdowns between here and downtown,get_info_traffic#get_location,"0,9"
91,which route is the quickest to take to get to work this morning,get_directions#get_location_work,"6,11"
92,if i get off at route 9 and switch to fortlane rd will i get there quicker,unsupported_navigation,16
93,will there be a white christmas,unsupported,10
94,how long to get to lance s if i leave right now,get_location_home#get_estimated_duration,"22,18"
95,are there any sporting events in san jose today,get_event,7
96,free christmas lights to see near me,get_event#get_location,"7,9"
97,city hall location near my house,get_location_home#get_location,"22,9"
98,what is the traffic like near asheville,get_info_traffic#get_location,"0,9"
99,fastest route to avoid traffic downtown,get_directions,6
100,what s the distance between new york and france,get_distance,4
101,how do i get downtown,get_directions,6
102,"i m wanting to get into running, can you tell me if there s any events happening for runners nearby",get_event#get_location,"7,9"
103,what time do i need to leave norman to arrive in oklahoma city by five o clock,get_estimated_departure,5
104,destination arrival time please,get_estimated_arrival,20
105,what time should i leave to make to to the theater by 4,get_estimated_departure#get_location,"5,9"
106,what kind of events are happening today,get_event,7
107,what artsy event can i go to tomorrow night downtown,get_event,7
108,any concert presales going on at the bjcc,get_event#get_location,"7,9"
109,how is the traffic in downtown kansas city around 10am,get_info_traffic,0
110,why is everyone suddenly slowing down,get_info_traffic,0
111,are there sales events at the local mall,get_event#get_location,"7,9"
112,please tell me how long it will take me to arrive home,get_location_home#get_estimated_duration,"22,18"
113,there is an accident on 39th avewhat road should i take to get to the 13th with at least amount of traffic,get_directions,6
114,is metro community college having cooking classes,get_event#get_location,"7,9"
115,things to do in montgomery alabama,get_event,7
116,is there any concert that is playing tonight in san jose,get_event,7
117,zagat rated in theater district,unsupported,10
118,"if i leave right now, can i get to new york city before one o clock pm",get_estimated_arrival,20
119,christmas events in new york,get_event,7
120,how long does it take to get to brookeville by bus,get_estimated_duration,18
121,hotel events in miami,get_event,7
122,concerts by acdc,get_event,7
123,how many more miles before traffic lets up,unsupported_navigation,16
124,is there heavy traffic in phoenix right now,get_info_traffic,0
125,traffic report for nashville,get_info_traffic,0
126,what s the distance between greenville nc and atlanta,get_distance,4
127,what is the traffic like from chicago to detroit,get_info_traffic,0
128,how long will it take me to get to the theatre,get_location#get_estimated_duration,"9,18"
129,please update me on traffic to work,get_info_traffic#get_location_work,"0,11"
130,concerts by p diddy,get_event,7
131,how long will it take me to get to cindy s house,get_location_home#get_estimated_duration,"22,18"
132,is traffic light today since it is a holiday,get_info_traffic,0
133,any traffic delays on highway 5,get_info_traffic,0
134,is traffic normally slow during this time of day on frederica street,get_info_traffic,0
135,how long will it take to drive to orlando today,get_estimated_duration,18
136,when is the pink concert coming near me,get_event#get_location,"7,9"
137,is there traffic to home,get_info_traffic#get_location_home,"0,22"
138,how long will it take from my house to ny city using toll roads,get_location_home#get_estimated_duration,"22,18"
139,brantley gilbert concerts,get_event,7
140,get the time to sandusky using route 2,get_estimated_duration,18
141,how long will it take to drive home from here,get_location_home#get_location#get_estimated_duration,"22,9,18"
142,what is required to obtain a driver licence at the age of 17 in texas,unsupported,10
143,how long is the interstate shut down,unsupported_navigation,16
144,are there any music events this month,get_event,7
145,was there an accident,get_info_traffic,0
146,can i take a detour at exit 30 and then take allen road to get to varun s house,get_location_home#get_directions#get_location,"22,6,9"
147,"i m leaving in 10 minutes, what time should i arrive at the park",get_estimated_arrival#get_location,"20,9"
148,how many lanes is 131 south,unsupported_navigation,16
149,how many miles are there between arkansas and california,get_distance,4
150,what time will i be home tonight,get_location_home#get_estimated_arrival,"22,20"
151,holiday festivals near me this weekend,get_event#get_location,"7,9"
152,how much time is affected to arrive home from this accident ,get_location_home#get_estimated_duration,"22,18"
153,free concerts in orlando next week,get_event,7
154,driving time from apache to lawton,get_estimated_duration,18
155,any lane closures along i-70 kansas,unsupported_navigation,16
156,motorcycle rallies in 2018,get_event,7
157,are there any accidents on 92,get_info_traffic,0
158,what s fun around here,get_event#get_location,"7,9"
159,accidents please,get_info_traffic,0
160,can i get from here to my job location before 2:30 pm,get_estimated_arrival#get_location#get_location_work,"20,9,11"
161,are any of my girlfriends attending events for toddlers this month,unsupported,10
162,festivals near me,get_event#get_location,"7,9"
163,best place to eat a gyro near me,unsupported,10
164,did the rain cause the bridge road to flood,get_info_road_condition#get_location,"17,9"
165,can i get to dallas on this  route,get_directions,6
166,when is the next miley cyrus concert,get_event,7
167,"if i leave newport by 8 am, will i get to seaside by 3 pm",get_estimated_arrival,20
168,how long is the traffic going to set me back,get_estimated_duration,18
169,what is the best way for me to get to the at&t center,get_directions#get_location,"6,9"
170,are the streets clear on my way home,get_info_traffic#get_location_home,"0,22"
171,new years eve parties,get_event,7
172,when will the next eclipse be,get_event,7
173,how is traffic from here to la,get_info_traffic#get_location,"0,9"
174,is there any traffic congestion near whitman center,get_info_traffic#get_location,"0,9"
175,is there an accident on 152 hwy,get_info_traffic,0
176,get the time to the car free day area using train,get_location#get_estimated_duration,"9,18"
177,are the roads icy this morning on the way to tina s house,get_location_home#get_info_road_condition,"22,17"
178,how long will it take to drive from detroit to chicago,get_estimated_duration,18
